Age,age_group,age_group_12plus,Total,Male,Female
0,0-9,under12,16567,8293,8274
1,0-9,under12,16859,8602,8257
2,0-9,under12,17469,9084,8385
3,0-9,under12,17398,8859,8539
4,0-9,under12,17735,9156,8579
5,0-9,under12,17769,9166,8603
6,0-9,under12,17861,9236,8625
7,0-9,under12,18061,9301,8760
8,0-9,under12,17781,9098,8683
9,0-9,under12,17663,9108,8555
10,10-19,under12,18005,9184,8821
11,10-19,under12,18067,9183,8884
12,10-19,12-19,17789,9171,8618
13,10-19,12-19,17401,8843,8558
14,10-19,12-19,16723,8555,8168
15,10-19,12-19,16336,8380,7956
16,10-19,12-19,16511,8411,8100
17,10-19,12-19,16362,8455,7907
18,10-19,12-19,16300,8465,7835
19,10-19,12-19,16532,8495,8037
20,20-29,20-29,17155,8825,8330
21,20-29,20-29,17465,9054,8411
22,20-29,20-29,17692,9138,8554
23,20-29,20-29,18021,9290,8731
24,20-29,20-29,18904,9631,9273
25,20-29,20-29,19533,9894,9639
26,20-29,20-29,19511,9988,9523
27,20-29,20-29,19130,9545,9585
28,20-29,20-29,19744,9811,9933
29,20-29,20-29,19995,9858,10137
30,30-39,30-39,20231,10036,10195
31,30-39,30-39,19798,9822,9976
32,30-39,30-39,19544,9624,9920
33,30-39,30-39,19712,9840,9872
34,30-39,30-39,19691,9763,9928
35,30-39,30-39,19614,9742,9872
36,30-39,30-39,19418,9672,9746
37,30-39,30-39,19247,9594,9653
38,30-39,30-39,18853,9406,9447
39,30-39,30-39,18687,9298,9389
40,40-49,40-49,18309,9135,9174
41,40-49,40-49,17894,8926,8968
42,40-49,40-49,17691,8814,8877
43,40-49,40-49,17443,8646,8797
44,40-49,40-49,17386,8746,8640
45,40-49,40-49,17184,8645,8539
46,40-49,40-49,16674,8445,8229
47,40-49,40-49,16798,8485,8313
48,40-49,40-49,17113,8588,8525
49,40-49,40-49,17149,8525,8624
50,50-59,50-59,16828,8428,8400
51,50-59,50-59,16554,8376,8178
52,50-59,50-59,16190,8248,7942
53,50-59,50-59,16060,7989,8071
54,50-59,50-59,17142,8596,8546
55,50-59,50-59,18196,9020,9176
56,50-59,50-59,18431,9272,9159
57,50-59,50-59,18544,9234,9310
58,50-59,50-59,18469,9217,9252
59,50-59,50-59,18380,9290,9090
60,60-69,60-69,18179,9149,9030
61,60-69,60-69,17182,8552,8630
62,60-69,60-69,16989,8399,8590
63,60-69,60-69,16544,8200,8344
64,60-69,60-69,15934,8011,7923
65,60-69,60-69,15920,7862,8058
66,60-69,60-69,15221,7471,7750
67,60-69,60-69,14299,6784,7515
68,60-69,60-69,13692,6720,6972
69,60-69,60-69,13078,6198,6880
70,70-79,70-79,12635,6101,6534
71,70-79,70-79,12192,5834,6358
72,70-79,70-79,12029,5700,6329
73,70-79,70-79,11814,5646,6168
74,70-79,70-79,9582,4441,5141
75,70-79,70-79,8700,4142,4558
76,70-79,70-79,8472,4068,4404
77,70-79,70-79,8041,3713,4328
78,70-79,70-79,7036,3215,3821
79,70-79,70-79,6833,3015,3818
80,80-89,80-89,6026,2686,3340
81,80-89,80-89,5729,2545,3184
82,80-89,80-89,5339,2353,2986
83,80-89,80-89,4770,2042,2728
84,80-89,80-89,4593,1876,2717
85,80-89,80-89,4109,1706,2403
86,80-89,80-89,3780,1563,2217
87,80-89,80-89,3512,1399,2113
88,80-89,80-89,3277,1217,2060
89,80-89,80-89,2833,1002,1831
90,90-99,90plus,2554,892,1662
91,90-99,90plus,2097,689,1408
92,90-99,90plus,1942,647,1295
93,90-99,90plus,1416,412,1004
94,90-99,90plus,1204,336,868
95,90-99,90plus,1048,275,773
96,90-99,90plus,788,190,598
97,90-99,90plus,583,130,453
98,90-99,90plus,452,110,342
99,90-99,90plus,312,67,245
100,99+,90plus,196,42,154
101,99+,90plus,119,30,89
102,99+,90plus,91,20,71
103,99+,90plus,66,8,58
104,99+,90plus,39,14,25
105,99+,90plus,42,8,34
106,99+,90plus,24,6,18
107,99+,90plus,18,9,9
108,99+,90plus,12,4,8
109,99+,90plus,6,2,4
110,99+,90plus,7,3,4
111,99+,90plus,6,1,5
112,99+,90plus,4,3,1
113,99+,90plus,0,0,0
114,99+,90plus,2,1,1
115,99+,90plus,1,1,0
