age_group,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
total_12_or_older,467776,140601,871111,693386,7489220,12932471,1168942,993244,3761130,4577078,36209,37917,29183
12 years,5277,1819,9774,8213,92571,161140,17437,15659,56255,50451,460,613,802
13 years,5162,1831,9384,7996,89488,158970,17000,14923,54285,49427,443,597,762
14 years,5198,1739,9392,7836,86150,156964,16552,14607,51990,48764,421,600,725
15 to 19 years,26994,9340,50776,40662,426496,852405,85808,71304,256742,272195,2067,2793,3283
20 to 24 years,28910,11577,61556,43490,499370,1039661,96636,75402,277328,340325,2346,3028,3173
25 to 29 years,28076,10321,63359,43981,564669,1077433,97157,77488,314507,358457,2828,3688,3276
30 to 34 years,28942,9212,61264,44703,548066,1041952,98789,85751,356226,376466,3468,3705,3179
35 to 39 years,30151,9314,58683,46655,578273,992844,95203,86664,359301,363871,3549,3405,2767
40 to 44 years,31426,9586,56907,48179,581724,921378,86739,76067,319889,323620,3050,3348,2334
45 to 49 years,35754,10231,61194,51551,527233,932058,82541,67397,288546,325674,2864,2919,2154
50 to 54 years,40214,10319,65276,54044,546847,968546,80302,65716,266489,343894,2753,3238,2277
55 to 59 years,43105,12005,78780,63300,637724,1073519,89949,77024,284259,376848,3233,3389,1761
60 to 64 years,42339,11350,75941,61514,619126,961243,83163,74222,264339,360150,3116,2619,1119
65 to 69 years,39718,10116,66676,55477,529279,803962,70981,62071,210073,314021,2385,1818,698
70 to 74 years,33179,9106,57399,46962,440008,673546,57001,46528,157657,262197,1532,1048,459
75 to 79 years,20458,5589,37734,30462,313752,461015,38329,31910,102977,174377,862,603,235
80 to 84 years,12617,3641,24225,19475,198497,319548,25922,22791,68565,115218,464,293,114
85 to 89 years,6662,2244,14184,11705,128147,204227,16952,15931,44033,73205,246,133,41
90 to 94 years,2715,935,6318,5213,60879,98638,8968,8492,20921,35355,84,57,18
95 to 99 years,751,281,1930,1704,18086,29527,3010,2773,5746,10613,31,21,3
100 years and over,128,45,359,264,2835,3895,503,524,1002,1950,7,2,3
